,A_H2,A_CO,A_HCOOH,A_C2,composition,Cu,Ag,Au,Pt,Pd,Al,Cu_top,Ag_top,Au_top,Pt_top,Pd_top,Al_top,top_max,A_C2-CO,LP_C2_mean,LP_CO_mean,LP_H2_mean,LP_HCOOH_mean,LP_C2_CO_mean
1259,442.6390537322569,5.183272236470981e-07,1.7418297537009169,7.489723706639711e-12,Au0.3Pt0.2Ag0.15Cu0.2Pd0.15,0.2,0.15,0.3,0.2,0.15,0.0,0.112,0.431,0.383,0.023,0.052,0.0,Ag_top,-5.183197339233915e-07,1.0328673022593444,0.8201315653444747,0.11925468485880764,0.29752729891616986,0.21273573691486972
1260,366.6082129616023,6.060557759077042e-07,1.1605067864945142,1.8044047762876342e-09,Pd0.15Pt0.2Ag0.15Cu0.35Au0.15,0.35,0.15,0.15,0.2,0.15,0.0,0.272,0.497,0.178,0.02,0.033,0.0,Ag_top,-6.042513711314166e-07,0.9779421604028319,0.7765575389167537,0.12078318635593416,0.30378283976999265,0.201384621486078
1261,464.4230259855385,1.8764396609760253e-06,1.3134539668966945,1.3676094930652767e-10,Au0.2Pd0.15Pt0.2Ag0.15Cu0.3,0.3,0.15,0.2,0.2,0.15,0.0,0.181,0.58,0.183,0.018,0.037,0.0,Ag_top,-1.8763029000267187e-06,0.9679560971312205,0.7421998622245615,0.109868400733773,0.31479318755242636,0.22575623490665925
1262,470.3810848693671,1.238318418322046e-06,1.497064266624936,6.6877347463662094e-12,Au0.3Pt0.2Ag0.1Cu0.25Pd0.15,0.25,0.1,0.3,0.2,0.15,0.0,0.182,0.38,0.374,0.022,0.042,0.0,Ag_top,-1.2383117305872995e-06,1.0211143837075558,0.8136223900212015,0.1112170822087,0.298203126803571,0.20749199368635443
1263,492.9397525818715,7.029957499165022e-07,1.5022316593292175,1.8898411201021244e-12,Au0.35Pt0.2Ag0.1Cu0.2Pd0.15,0.2,0.1,0.35,0.2,0.15,0.0,0.107,0.421,0.402,0.023,0.048,0.0,Ag_top,-7.029938600753821e-07,1.0253958183391583,0.8295277575170068,0.11447149026210561,0.2926455100707707,0.1958680608221514
1264,411.427493247702,1.534143136699668e-06,1.3054164091560485,1.0530243484178752e-11,Au0.2Pd0.15Pt0.2Ag0.1Cu0.35,0.35,0.1,0.2,0.2,0.15,0.0,0.312,0.375,0.266,0.014,0.034,0.0,Ag_top,-1.5341326064561837e-06,1.007358439568305,0.7967425244409059,0.11778262476251239,0.315037528712426,0.21061591512739913
1265,434.47915210925976,5.071866298482776e-07,1.4966106131394583,6.498902062402968e-12,Au0.25Pd0.15Pt0.2Ag0.1Cu0.3,0.3,0.1,0.25,0.2,0.15,0.0,0.205,0.432,0.29,0.018,0.055,0.0,Ag_top,-5.071801309462152e-07,1.0003965652007967,0.8088168775220304,0.11286351139027634,0.29970893176509905,0.19157968767876632
1266,391.7787176535208,1.0690770308602088e-07,2.058039661909267,2.0055502163031755e-12,Au0.35Pt0.2Ag0.25Cu0.05Pd0.15,0.05,0.25,0.35,0.2,0.15,0.0,0.01,0.549,0.387,0.025,0.029,0.0,Ag_top,-1.0690569753580458e-07,1.0478627478531888,0.8141442011612453,0.1453329187203358,0.3031598107427681,0.2337185466919437
1267,394.9230860303327,5.630218009496663e-07,2.147902279959812,1.170347657775551e-11,Au0.25Pd0.15Pt0.2Ag0.25Cu0.15,0.15,0.25,0.25,0.2,0.15,0.0,0.068,0.581,0.282,0.027,0.043,0.0,Ag_top,-5.630100974730885e-07,1.0088784811056044,0.7907780533240515,0.13624917610167978,0.2989270505316867,0.21810042778155275
1268,385.5711273079919,1.924416112726092e-07,1.4891556340542738,2.5458349011703498e-12,Au0.3Pt0.2Ag0.25Cu0.1Pd0.15,0.1,0.25,0.3,0.2,0.15,0.0,0.046,0.575,0.323,0.02,0.036,0.0,Ag_top,-1.9243906543770803e-07,1.0430841694469508,0.78072919887867,0.1348357943506332,0.3224353008930145,0.2623549705682809
1269,417.3611447477607,2.270977576098301e-06,1.7938741992533946,4.82936868993772e-10,Pd0.15Pt0.2Ag0.25Cu0.25Au0.15,0.25,0.25,0.15,0.2,0.15,0.0,0.17,0.617,0.162,0.027,0.023,0.0,Ag_top,-2.2704946392293073e-06,0.9626638827157457,0.7580155666887881,0.1305484959897052,0.2974900972326336,0.20464831602695774
1270,443.1877853158522,8.06050927086721e-07,1.563295040414912,9.184048180468263e-11,Au0.2Pd0.15Pt0.2Ag0.25Cu0.2,0.2,0.25,0.2,0.2,0.15,0.0,0.125,0.577,0.251,0.017,0.029,0.0,Ag_top,-8.059590866049163e-07,0.9707814004157914,0.7590223356820512,0.12132882487163077,0.2998331113455781,0.2117590647337402
1271,357.7630101262453,5.600773335594121e-06,1.6225600794961277,5.9770047784013996e-09,Cu0.35Pd0.15Pt0.2Ag0.25Au0.05,0.35,0.25,0.05,0.2,0.15,0.0,0.269,0.645,0.042,0.018,0.026,0.0,Ag_top,-5.594796330815719e-06,0.9127223001972748,0.7174883883769259,0.1322153281651057,0.2937433714476173,0.19523391182034902
1272,349.06963362174633,1.1970705954200573e-06,1.6550249444056506,5.798651666063613e-10,Cu0.3Pd0.15Pt0.2Ag0.25Au0.1,0.3,0.25,0.1,0.2,0.15,0.0,0.245,0.642,0.077,0.018,0.018,0.0,Ag_top,-1.1964907302534508e-06,0.9186190265878649,0.7299784379046602,0.13283836945597585,0.291598934683164,0.18864058868320455
1273,426.81463035144384,1.4955760987305457e-07,1.8644422219101864,9.97596750888321e-12,Au0.3Pt0.2Ag0.2Cu0.15Pd0.15,0.15,0.2,0.3,0.2,0.15,0.0,0.091,0.485,0.375,0.021,0.029,0.0,Ag_top,-1.495476339055457e-07,1.0343426031538905,0.810132498365812,0.12830744005022085,0.3022152618213391,0.22421010478807862
1274,468.0014891085946,1.0916892485847785e-07,1.8192646542839568,3.757066249299662e-12,Au0.35Pt0.2Ag0.2Cu0.1Pd0.15,0.1,0.2,0.35,0.2,0.15,0.0,0.035,0.456,0.456,0.018,0.035,0.0,Ag_top,-1.0916516779222855e-07,1.058843034064919,0.8352343048805341,0.12321564786727934,0.29854847923400424,0.2236087291843851
